product_id,1.0,2.0,3.0,4.0,5.0
B000HLSAMW,,,,,4.0
B00IRLX1X2,,102.0,102.0,,102.0
B00M76XA20,15.0,,,,15.0
B01J7RB9NI,,,,,13.0
B01M0ZBSML,55.0,,,,55.0
B01M3Q0XUD,,,39.0,39.0,39.0
B01N7NILAD,,3.0,,,
B071Z3FB25,,,,,16.0
B07343837W,,,,,272.0
B0737H28G9,,,,,2.0
B073C5RQGQ,,,,,272.0
B073C6FJ8X,,,,,272.0
B073C7D77N,,,,,272.0
B073D77LKJ,,,,,17.0
B073D82V65,,,,,295.0
B073DB67L7,,,,,295.0
B073DCRCFN,,,,,295.0
B073HM8ZWY,,,,22.0,
B073W41CC7,,,,,12.0
B073XYXB1S,,,,,5.0
B076MHDPKC,340.0,340.0,,,340.0
B077J659RX,945.0,,945.0,945.0,945.0
B079NSFHD4,,82.0,82.0,82.0,82.0
B079S726D3,,,,,9.0
B079ST363N,15.0,,,15.0,15.0
B079SWGHD2,,,,,14.0
B079SXSPH8,,,,,13.0
B07DJWQ9XT,12.0,,,,
B07DKYC734,,,,,11.0
B07DKYMQRT,,,,,53.0
B07DKYTSD5,,,,,4.0
B07DL134SG,,,,,13.0
B07DL3MZD7,,,,,4.0
B07DL55QTD,,,,,5.0
B07DLBT8M4,,,,,26.0
B07F1F688Q,,,,,1.0
B07FQ2YF39,33.0,33.0,,,33.0
B07FQ6JN35,16.0,,,,
B07FQ7MPFV,,,,,14.0
B07FQXBXVP,,,,,4.0
B07FQXVRNC,16.0,,,,16.0
B07FQYSNKP,,,,,11.0
B07FR4JWKF,,,,22.0,
B07FRFHXR3,,,,,36.0
B07G3BYTGK,,,,,16.0
B07GKVJVY1,3.0,3.0,,,
B07GKXLDZD,8.0,,8.0,,
B07GQBP7RL,,,,,2.0
B07GQGW3C4,,11.0,,,
B07HMJYCYC,,37.0,,37.0,
B07HWBWPNL,6.0,,,,
B07HWCY54B,,,7.0,,
B07HWR93WY,,,,,68.0
B07J6GMCPC,,,,5.0,
B07JDR9RY5,,,,,74.0
B07K4VTKDV,51.0,51.0,51.0,51.0,51.0
B07MJM11Z9,,,,,85.0
B07N7SGW8R,3.0,,,,
B07NBT162T,,,,,272.0
B07P77J6YK,,70.0,,70.0,70.0
B07RVC4RLJ,,,,,92.0
B07S773J9S,4.0,,,,
B08CPL3H75,,,141.0,,
B08CPNMZMK,,,,,141.0
B08CPV5K6L,,,,141.0,141.0
B08CPX3JPW,,,,,141.0
B08JWSGNYC,,,,,272.0
B095Z16MPL,,,18.0,,
B098JRQDHV,,,,53.0,
B09BCWMV1H,,,,127.0,127.0
B09DTFV62W,,,,2.0,
B09G2GSR8Y,,,,,2.0
B09HHWSYJS,,,,,2.0
B09HNBQ74Y,,,,8.0,
B09L29NKXC,,,27.0,,27.0
B09MDG3L16,,138.0,,,138.0
B09MVVVLGX,,,,,138.0
B09PYJP86G,,,74.0,,74.0
B09R86128F,,,,,340.0
B09RMDFZKH,,,,,340.0
B09ZF5GT9L,141.0,,,,141.0
B09ZF77LNG,,,,,141.0
B0B34TP7YH,,,,13.0,
B0B7D5LBZ2,,,,47.0,
B0BCSSK11W,,,2.0,,
B0BG7NNX83,,,,,2.0
B0BGSVY8VW,,,,,6.0
B0BLRWLF3P,,,,,3.0
B0BRBNHNTK,,,,,7.0
