product_id,1.0,2.0,3.0,4.0,5.0
B0006GQA48,,,,,5.0
B0017M4ERK,,3.0,,,
B001EDNLH6,22.0,,,,22.0
B001TQPOEG,,,,,8.0
B002PIAAD2,101.0,101.0,,,101.0
B0036VHGG6,,,,,1.0
B0046LALEO,,,,,58.0
B004HI6YOW,,,,,2.0
B004VS98UU,,,,,2.0
B005NXVTR2,,,,,2.0
B005X9K3XW,,,,,4.0
B007WFJWZK,,,,,7.0
B008AKTEXQ,,,,,318.0
B008AKUBLK,318.0,,,,318.0
B008AKUVBU,,,,318.0,318.0
B008AKVJKC,318.0,,,,318.0
B008AKVVUU,,,,,318.0
B008B036D4,,318.0,,,
B008DKPNQU,,,,318.0,318.0
B008DKPYI2,,,318.0,,
B008OY1724,18.0,,,,18.0
B008XK4VOA,,,,,1.0
B0098S8G4W,,165.0,,165.0,165.0
B00AC790R0,,597.0,597.0,597.0,597.0
B00AG13TDI,,,,,2.0
B00C8U540Q,,,,,1.0
B00EZWUNB0,,,,15.0,15.0
B00GYTOB06,,,,4.0,4.0
B00JW65OQ8,,,,7.0,7.0
B00K04Q13Q,,89.0,89.0,89.0,89.0
B00KAPON94,,,,,11.0
B00LMKCE24,,,,25.0,25.0
B00RGR54QA,,,,,1.0
B00V9U6HZC,,,,,2.0
B00WZR3F6C,,,,,3.0
B011D5BAEA,,,,,1.0
B016MMP5SQ,,,,,23.0
B01862O3WO,,,,7.0,7.0
B018IVVK60,,,,,2.0
B018VLKZ9A,,,,,6.0
B018ZNA440,,,,,5.0
B01A0E5EMO,,,,,2.0
B01AVMJTCG,,,,,3.0
B01B7NICZI,,,,,1.0
B01BT89CK0,,,,,7.0
B01CNMLDI0,100.0,100.0,,100.0,100.0
B01DB758X2,,589.0,,589.0,589.0
B01E1SL4T2,,,,,20.0
B01E5CJD38,,,,,15.0
B01EB8QWI0,621.0,,,621.0,621.0
B01FDRZPCM,,,,,11.0
B01FGKXC4E,,,13.0,,13.0
B01G5TSK74,,,,,11.0
B01H13XSPW,,,,,2.0
B01HEHJER6,,,,,1.0
B01IAELOBQ,,,,,2.0
B01LA69GN4,12.0,,,,12.0
B01LY83LK2,,,,,7.0
B01LY89F5Y,,,,9.0,9.0
B01M367YY3,185.0,,,185.0,185.0
B01MA4Q7KE,,,,,5.0
B01N5PEVJ4,,,,,1.0
B01N8S49FO,,,,,5.0
B06XTPK1GZ,,,,,3.0
B06XZV5Y6P,,,,,3.0
B071NNBDL1,365.0,,,,365.0
B0723GCC4M,,,,,4.0
B073JM92YX,,,,,1.0
B0758HLKM6,,,,134.0,134.0
B075NW9XQ9,,,,,1.0
B076HJ7PJD,,,,,8.0
B076NN29N2,2608.0,,,,2608.0
B077VTRJJS,,,,,3.0
B0785KW26L,9.0,,,,9.0
B0798FX9SZ,,,,,9.0
B079ZT8Q2Q,,,,,57.0
B07G87P1G1,,,,,16.0
B07G89DZ2N,,,,,49.0
B07KP8BK11,,,,,99.0
B07LCR42J6,,,,,2.0
B07MQG6BJ2,,,,,1.0
B07MX4WHR3,,,,,1.0
B07MZF97NG,,,,,23.0
B07NLGNT5Z,,,,,5.0
B07NRD7FD9,,,,,20.0
B07VC68VMK,,,,,3.0
B07WZW441F,,,,,6.0
B07X9NQRDV,,,,,11.0
B081B61KGS,,,,,11.0
B084FXYXZ3,,,,,3.0
B08C75GSZD,,,,,156.0
B095KX9T4F,,,,,293.0
